Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2016-01-19,2016,DMR Daily - MI0020257 _12_01_2015_to_12_31_2015_V1.docx,DMR Daily Data for period 12/01/2015 - 12/31/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-5447789093327103036,https://mienviro.michigan.gov/ncore/downloadpdf/-5447789093327103036,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-01-19,2016,DMR Summary - MI0020257 _12_01_2015_to_12_31_2015_V1.docx,DMR Summary Data for period 12/01/2015 - 12/31/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4193025276374184094,https://mienviro.michigan.gov/ncore/downloadpdf/-4193025276374184094,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-02-20,2016,DMR Daily - MI0020257 _01_01_2016_to_01_31_2016_V1.docx,DMR Daily Data for period 01/01/2016 - 01/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6525466383076021292,https://mienviro.michigan.gov/ncore/downloadpdf/6525466383076021292,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-02-20,2016,DMR Summary - MI0020257 _01_01_2016_to_01_31_2016_V1.docx,DMR Summary Data for period 01/01/2016 - 01/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3488789892444246103,https://mienviro.michigan.gov/ncore/downloadpdf/-3488789892444246103,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-03-16,2016,DMR Daily - MI0020257 _02_01_2016_to_02_29_2016_V1.docx,DMR Daily Data for period 02/01/2016 - 02/29/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-6884866009572813818,https://mienviro.michigan.gov/ncore/downloadpdf/-6884866009572813818,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-03-16,2016,DMR Summary - MI0020257 _02_01_2016_to_02_29_2016_V1.docx,DMR Summary Data for period 02/01/2016 - 02/29/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3461689102167870562,https://mienviro.michigan.gov/ncore/downloadpdf/-3461689102167870562,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-04-18,2016,DMR Daily - MI0020257 _03_01_2016_to_03_31_2016_V1.docx,DMR Daily Data for period 03/01/2016 - 03/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2502838247090599202,https://mienviro.michigan.gov/ncore/downloadpdf/-2502838247090599202,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-04-18,2016,DMR Summary - MI0020257 _03_01_2016_to_03_31_2016_V1.docx,DMR Summary Data for period 03/01/2016 - 03/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,1049897993402206269,https://mienviro.michigan.gov/ncore/downloadpdf/1049897993402206269,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-05-16,2016,DMR Daily - MI0020257 _04_01_2016_to_04_30_2016_V1.docx,DMR Daily Data for period 04/01/2016 - 04/30/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-6425285818055725556,https://mienviro.michigan.gov/ncore/downloadpdf/-6425285818055725556,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-05-16,2016,DMR Summary - MI0020257 _04_01_2016_to_04_30_2016_V1.docx,DMR Summary Data for period 04/01/2016 - 04/30/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4336303018773149137,https://mienviro.michigan.gov/ncore/downloadpdf/-4336303018773149137,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-06-15,2016,DMR Daily - MI0020257 _05_01_2016_to_05_31_2016_V1.docx,DMR Daily Data for period 05/01/2016 - 05/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6177350560736608063,https://mienviro.michigan.gov/ncore/downloadpdf/6177350560736608063,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-06-15,2016,DMR Summary - MI0020257 _05_01_2016_to_05_31_2016_V1.docx,DMR Summary Data for period 05/01/2016 - 05/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-9054802322981204104,https://mienviro.michigan.gov/ncore/downloadpdf/-9054802322981204104,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-07-15,2016,DMR Daily - MI0020257 _06_01_2016_to_06_30_2016_V1.docx,DMR Daily Data for period 06/01/2016 - 06/30/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2645731656519523748,https://mienviro.michigan.gov/ncore/downloadpdf/-2645731656519523748,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-07-15,2016,DMR Summary - MI0020257 _06_01_2016_to_06_30_2016_V1.docx,DMR Summary Data for period 06/01/2016 - 06/30/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-6126364658004482120,https://mienviro.michigan.gov/ncore/downloadpdf/-6126364658004482120,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-08-12,2016,DMR Daily - MI0020257 _07_01_2016_to_07_31_2016_V1.docx,DMR Daily Data for period 07/01/2016 - 07/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,1005010368843969925,https://mienviro.michigan.gov/ncore/downloadpdf/1005010368843969925,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-08-12,2016,DMR Summary - MI0020257 _07_01_2016_to_07_31_2016_V1.docx,DMR Summary Data for period 07/01/2016 - 07/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-41646711706265012,https://mienviro.michigan.gov/ncore/downloadpdf/-41646711706265012,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-09-16,2016,DMR Daily - MI0020257 _08_01_2016_to_08_31_2016_V1.docx,DMR Daily Data for period 08/01/2016 - 08/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2071454628388704794,https://mienviro.michigan.gov/ncore/downloadpdf/2071454628388704794,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-09-16,2016,DMR Summary - MI0020257 _08_01_2016_to_08_31_2016_V1.docx,DMR Summary Data for period 08/01/2016 - 08/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-8864258566189946951,https://mienviro.michigan.gov/ncore/downloadpdf/-8864258566189946951,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-10-18,2016,DMR Daily - MI0020257 _09_01_2016_to_09_30_2016_V1.docx,DMR Daily Data for period 09/01/2016 - 09/30/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-7163848156117307736,https://mienviro.michigan.gov/ncore/downloadpdf/-7163848156117307736,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-10-18,2016,DMR Summary - MI0020257 _09_01_2016_to_09_30_2016_V1.docx,DMR Summary Data for period 09/01/2016 - 09/30/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-5500870070273347359,https://mienviro.michigan.gov/ncore/downloadpdf/-5500870070273347359,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-10-25,2016,DMR Summary - MI0020257 _10_01_2015_to_09_30_2016_V1.docx,DMR Summary Data for period 10/01/2015 - 09/30/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-8068360832484337569,https://mienviro.michigan.gov/ncore/downloadpdf/-8068360832484337569,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-11-17,2016,DMR Daily - MI0020257 _10_01_2016_to_10_31_2016_V1.docx,DMR Daily Data for period 10/01/2016 - 10/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,1524244019210258858,https://mienviro.michigan.gov/ncore/downloadpdf/1524244019210258858,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-11-17,2016,DMR Summary - MI0020257 _10_01_2016_to_10_31_2016_V1.docx,DMR Summary Data for period 10/01/2016 - 10/31/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,5880887913847657693,https://mienviro.michigan.gov/ncore/downloadpdf/5880887913847657693,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-12-16,2016,DMR Daily - MI0020257 _11_01_2016_to_11_30_2016_V1.docx,DMR Daily Data for period 11/01/2016 - 11/30/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-570299436410721715,https://mienviro.michigan.gov/ncore/downloadpdf/-570299436410721715,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-12-16,2016,DMR Summary - MI0020257 _11_01_2016_to_11_30_2016_V1.docx,DMR Summary Data for period 11/01/2016 - 11/30/2016_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,8936787219842147076,https://mienviro.michigan.gov/ncore/downloadpdf/8936787219842147076,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
