EvalRefProgramAreaDescr,EvalRefEvalTypeDescr,EvalEvalNum,EvalPrmtNum,EvalRefEvalCatgDescr,EvalStartDate,EvalSmplTransmtDate,SiteName
WRD - NPDES,Biomonitoring,E-E5EE-BF-CEA5,,On-Site Inspection,"12/13/2000 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Compliance Evaluation Inspection (CEI),E-7178-8A-8819,,On-Site Inspection,"12/6/2000 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-9256-CC-C5BD,,On-Site Inspection,"3/15/1999 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-EBC3-F2-B39D,,On-Site Inspection,"9/8/1998 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Reconnaissance Inspection,E-9B6D-13-4499,,On-Site Inspection,"10/24/1997 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-FB7D-65-42DB,,On-Site Inspection,"12/9/1996 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-7C81-68-FB4B,,On-Site Inspection,"10/9/1995 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-BEEF-39-93F4,,On-Site Inspection,"4/24/1995 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Biomonitoring,E-BE33-84-B6FF,,On-Site Inspection,"1/24/1995 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-442E-FD-D25B,,On-Site Inspection,"5/16/1994 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Pretreatment Compliance Inspection,E-C69D-35-29BD,,On-Site Inspection,"4/28/1994 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-596E-79-9516,,On-Site Inspection,"7/7/1993 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-34B7-33-5F39,,On-Site Inspection,"4/21/1992 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Pretreatment Compliance Inspection,E-2BA1-FC-4D22,,On-Site Inspection,"4/20/1992 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Reconnaissance Inspection,E-BCD7-7C-F3B1,,On-Site Inspection,"4/20/1992 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Pretreatment Audit,E-FBBF-A3-3918,,On-Site Inspection,"7/23/1991 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-87E1-B1-C457,,On-Site Inspection,"5/20/1991 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Biomonitoring,E-694B-99-25AB,,On-Site Inspection,"10/19/1990 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Pretreatment Compliance Inspection,E-237C-2D-C893,,On-Site Inspection,"7/31/1990 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Conventionals Only,E-244B-1F-66B6,,On-Site Inspection,"7/30/1990 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Reconnaissance Inspection,E-D98C-76-DB27,,On-Site Inspection,"6/7/1989 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-F987-BB-3966,,On-Site Inspection,"5/22/1989 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Pretreatment Compliance Inspection,E-5EF7-E7-B2AD,,On-Site Inspection,"3/22/1989 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Reconnaissance Inspection,E-92FC-F4-5DBE,,On-Site Inspection,"1/31/1989 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Pretreatment Compliance Inspection,E-6876-99-B1D7,,On-Site Inspection,"7/14/1988 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Pretreatment Compliance Inspection,E-641C-25-4A8F,,On-Site Inspection,"9/16/1987 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Pretreatment Audit,E-395B-75-CB5F,,On-Site Inspection,"9/29/1986 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-45ED-F9-4FA9,,On-Site Inspection,"7/11/1983 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Toxics,E-A277-64-9358,,On-Site Inspection,"6/9/1980 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Compliance Evaluation Inspection (CEI),E-72F8-63-285A,,On-Site Inspection,"3/4/1980 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Compliance Evaluation Inspection (CEI),E-B47E-86-3CDD,,On-Site Inspection,"9/27/1978 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,CSI-Conventionals Only,E-AB23-1F-48A5,MI0020257,On-Site Inspection,,,Cadillac WWTP
