Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2017-05-24,2017,written report BOD exceedance #2 052417.msg,,Laboratory / Toxics / WET,High,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,-1358521760501568481,https://mienviro.michigan.gov/ncore/downloadpdf/-1358521760501568481,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-06-15,2017,written report BOD exceedance 061517.msg,,Laboratory / Toxics / WET,High,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,5876564337621442480,https://mienviro.michigan.gov/ncore/downloadpdf/5876564337621442480,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-07-12,2017,written report BOD exceedance 071217.msg,,Laboratory / Toxics / WET,High,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,-5622633242256800541,https://mienviro.michigan.gov/ncore/downloadpdf/-5622633242256800541,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-02-14,2018,Cadillac WWTP Ammonia Method 021418 email.msg,,Laboratory / Toxics / WET,High,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,-7195529521434838094,https://mienviro.michigan.gov/ncore/downloadpdf/-7195529521434838094,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-03-15,2018,Cadillac WWTP Ammonia Method 031518 email.msg,,Laboratory / Toxics / WET,High,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,-2361783230760937000,https://mienviro.michigan.gov/ncore/downloadpdf/-2361783230760937000,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-04-17,2018,Cadillac WWTP Fecal Method email 041718.msg,,Site / Miscellaneous,Routine,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,4841671392581047597,https://mienviro.michigan.gov/ncore/downloadpdf/4841671392581047597,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-07,2018,Cadillac WWTP May CBOD Exceed 050718.msg,,Laboratory / Toxics / WET,High,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,-4662633947220908881,https://mienviro.michigan.gov/ncore/downloadpdf/-4662633947220908881,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,Cadillac WWTP May CBOD Exceed 050818.msg,,Laboratory / Toxics / WET,High,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,9085707484366763135,https://mienviro.michigan.gov/ncore/downloadpdf/9085707484366763135,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-10-11,2018,Cadillac Asset Mngmnt Email 101118.msg,,Site / Miscellaneous,Routine,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,5868232613343772688,https://mienviro.michigan.gov/ncore/downloadpdf/5868232613343772688,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-11-26,2018,Cadillac WWTP BOD Exceed 112618.msg,,Laboratory / Toxics / WET,High,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,-463334436691465071,https://mienviro.michigan.gov/ncore/downloadpdf/-463334436691465071,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
