Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0303,0303_2018-07-26_Compliance Correspondence_Cadillac WWTP - Updated Narrative and Flow Diagram.pdf,Compliance Correspondence_Cadillac WWTP - Updated Narrative and Flow Diagram.msg,2018-07-26,-Facility providing disinfection update in narrative description to mention UV,NPDES Application Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),7890631484964037993,https://mienviro.michigan.gov/ncore/downloadpdf/7890631484964037993,260947,7374bc78179a45892a0478b69ca83763916bf0b704888b7d188d48cfc13500cd,OK,
0319,0319_2018-07-31_Application Incomplete Ltr-Compliance_Cadillac WWTP_Final Narrative and Flow Diagram.pdf,Application Incomplete Ltr-Compliance_Cadillac WWTP_Final Narrative and Flow Diagram.msg,2018-07-31,-Narrative and Flow Diagram updated to include UV,NPDES Application Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),8260746469098060718,https://mienviro.michigan.gov/ncore/downloadpdf/8260746469098060718,322291,d39c22bf47ab8eb869c1a94552143035b991e0759206c16c33233b2b9a30cf73,OK,
0338,0338_2018-10-01_Additional Email Correspondence_Asset Management Conversation.pdf,Additional Email Correspondence_Asset Management Conversation.msg,2018-10-01,-Asking about Cadillac Asset Management and updated maps,NPDES Application Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),5826779191242185880,https://mienviro.michigan.gov/ncore/downloadpdf/5826779191242185880,70741,afcd71d2de4c88414ea73be67f47462e02d580d4c037faebfc3c7463db761da0,OK,
0346,0346_2018-10-29_Additional Email Correspondence_Storm Water Coverage.pdf,Additional Email Correspondence_Storm Water Coverage.msg,2018-10-29,,NPDES Application Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),7290824506602760518,https://mienviro.michigan.gov/ncore/downloadpdf/7290824506602760518,50958,a28b62aee66a221712afcdc57eb1042e7b89be7f6a205b94e6882cf5bea32320,OK,
