Pages,Kept,MovedCopy,TextFingerprint
6,04 - PFAS Monitoring/RE_ Cadillac WWTP - IPP PFAS Interim Report Review2.pdf,Duplicates/Same-Content (byte-different)/2018-11-01__-5755238388065931422__RE_ Cadillac WWTP - IPP PFAS Interim Report Review.msg.pdf,9d74f03896bc691c
6,04 - PFAS Monitoring/RE- IPP PFAS Initiative Sampling Guidance - Suggested Analytes - internal Q&A about WMRPDs planned methods - Method 537 vs modified - for testing landfills.pdf,Duplicates/Same-Content (byte-different)/RE_ IPP PFAS Initiative Sampling Guidance_ Suggested Analytes.pdf,a4499b0804e6d3c9
6,04 - PFAS Monitoring/RE- IPP PFAS Initiative Sampling Guidance - Suggested Analytes - internal Q&A about WMRPDs planned methods - Method 537 vs modified - for testing landfills.pdf,Duplicates/Same-Content (byte-different)/2018-12-19__8864365913634161414__RE_ IPP PFAS Initiative Sampling Guidance_ Suggested Analytes.msg.pdf,a4499b0804e6d3c9
6,04 - PFAS Monitoring/RE- IPP PFAS Initiative Sampling Guidance - Suggested Analytes - internal Q&A about WMRPDs planned methods - Method 537 vs modified - for testing landfills.pdf,Duplicates/Same-Content (byte-different)/2019-02-12__5162860766879708910__RE_ IPP PFAS Initiative Sampling Guidance_ Suggested Analytes.msg.pdf,a4499b0804e6d3c9
53,All Documents used for prep/PFAS_Forensic_Dashboard - CopyPDF-2.pdf,Duplicates/Same-Content (byte-different)/PFAS_Forensic_Dashboard - CopyPDF.pdf,a5fd1470426d00a3
3,All Documents used for prep/Biosolids Audit Transmittal - Cadillac WWTP.pdf,Duplicates/Same-Content (byte-different)/Biosolids audit transmittal (word).pdf,ac69078fc75e669b
29,05 - Biosolids & Land Application/FW_ TestAmerica invoice and report files from 190-18507-1 WWTP - Biosolids.pdf,Duplicates/Same-Content (byte-different)/2019-02-22__-6388272437855274765__FW_ TestAmerica invoice and report files from 190-18507-1 WWTP - Biosolids.msg.pdf,ac9b8a118abfa61b
1,12 - Wexford Landfill & Leachate/WEXFORD LANDFILL - info on Wexford County Landfill (the local landfill that would have been a probable source for Cadillac.pdf,Duplicates/Same-Content (byte-different)/WEXFORD LANDFILL SIU-info sheet from City NPDES application Wexford County Landfill LLC Permit #590-13 Mixed Cells.pdf,c86bccfccfa36045
1,12 - Wexford Landfill & Leachate/WEXFORD LANDFILL - info on Wexford County Landfill (the local landfill that would have been a probable source for Cadillac.pdf,Duplicates/Same-Content (byte-different)/WEXFORD LANDFILL.pdf,c86bccfccfa36045
2,05 - Biosolids & Land Application/TVS Sludge-Temp data Mar-Apr-June 2019.pdf,Duplicates/Same-Content (byte-different)/TVS Sludge data with June 2019.pdf,c908d66490921672
29,02 - NPDES Permits & Permit Issuance/WQBELBiologistFactSheet_MI0020257_10-17-2022.pdf,Duplicates/Same-Content (byte-different)/2022-10-17__5271549274279379575__WQBELBiologistFactSheet_MI0020257_10-17-2022.pdf.pdf,cc25800c522689d3
6,02 - NPDES Permits & Permit Issuance/IU Permit notes.pdf,Duplicates/Same-Content (byte-different)/2024-10-09__6645952068854823121__IU Permit notes_COPY.msg.pdf,dd04022dda958837
6,09 - Correspondence & Letters/RE_ PLEASE look at this - FW_ info on % solids & % moisture - Update.pdf,Duplicates/Same-Content (byte-different)/2019-02-22__-5531387920153161894__RE_ PLEASE look at this - FW_ info on % solids & % moisture - Update.msg.pdf,ddea5ca959854248
10,99 - Needs Review/elevation_billing_service_charge_schedule_v2.pdf,Duplicates/Same-Content (byte-different)/elevation_billing_service.pdf,e32c869ad8694724
1,05 - Biosolids & Land Application/Biosolids Lab&Hauling Sheet Fall 2023.pdf,Duplicates/Same-Content (byte-different)/2024-10-30__1016221546561089184__Biosolids Lab&Hauling Sheet Fall 2023.xlsx.pdf,e434058db08f7911
6,05 - Biosolids & Land Application/TVS & 38% Reduction 2024.pdf,Duplicates/Same-Content (byte-different)/2024-10-30__3912111913383129866__TVS & 38% Reduction 2024.xlsx.pdf,e5054560d25dcf62
6,02 - NPDES Permits & Permit Issuance/WQBELBiologistReview_MI0020257_10-17-2022.pdf,Duplicates/Same-Content (byte-different)/2022-10-17__-3253706086432660697__WQBELBiologistReview_MI0020257_10-17-2022.doc.pdf,e61e1897271ec39b
3,03 - IPP (Industrial Pretreatment)/RE_ Cadillac MAHL revisions.pdf,Duplicates/Same-Content (byte-different)/2025-01-21__-8948881917471742688__RE_ Cadillac MAHL revisions.msg.pdf,e66640723418d71a
2,06 - Lab Results & Sampling (general)/1-4-Dioxan-SimpleLab Report VVCLVH.pdf,Duplicates/Same-Content (byte-different)/SimpleLab Report VVCLVH.pdf,ebe59b88ae2ddefe
6,05 - Biosolids & Land Application/TVS & 38% Reduction 2023.pdf,Duplicates/Same-Content (byte-different)/2023-10-30__-1962674721861553142__TVS & 38% Reduction 2023.xlsx.pdf,edb2b5d9e8a3a79a
7,04 - PFAS Monitoring/FW_ Biosolids PFAS - Cadillac.pdf,Duplicates/Same-Content (byte-different)/2019-02-28__-8513053641259165067__FW_ Biosolids PFAS - Cadillac.msg.pdf,f265a496ac8e218f
23,04 - PFAS Monitoring/J17646-1 UDS Level 2 Report Final Report- TestAmerica analytical report on leachate samples collected 10-3-2018-This is the report that confirmed Wexford as the City's PFAS source.pdf,Duplicates/Same-Content (byte-different)/report.pdf,f66c2df48d8470bf
46,04 - PFAS Monitoring/Cadillac_PFAS RE_ Voicemail Message.pdf,Duplicates/Same-Content (byte-different)/RE_ Voicemail Message.pdf,fa8e7a6f1a122a45
46,04 - PFAS Monitoring/Cadillac_PFAS RE_ Voicemail Message.pdf,Duplicates/Same-Content (byte-different)/2018-12-14__-7023703655846332926__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,fa8e7a6f1a122a45
46,04 - PFAS Monitoring/Cadillac_PFAS RE_ Voicemail Message.pdf,Duplicates/Same-Content (byte-different)/2019-02-12__-4031262101571962083__RE_ Voicemail Message.msg.pdf,fa8e7a6f1a122a45
2,05 - Biosolids & Land Application/Cadillac Casting Meeting 11-22-22.pdf,Duplicates/Same-Content (byte-different)/2022-11-22__-5376236809626939578__Cadillac Casting Meeting 11-22-22.docx.pdf,fe1486543d4995f8
