Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2012-01-18,2012,Cadillac WWTP Must Apply Letter.pdf,,Site / Miscellaneous,Routine,Conversion - SITE; Site 15637 / Site record,Conversion - SITE,,Site,15637,Site,-8849600511584876014,https://mienviro.michigan.gov/ncore/downloadpdf/-8849600511584876014,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-10-17,2014,Basis for Decision Memo-Classification.doc,Basis for Decision Memo-Classification,Site / Miscellaneous,Routine,Conversion - SITE; Site 15637 / Site record,Conversion - SITE,,Site,15637,Site,3031965344754622253,https://mienviro.michigan.gov/ncore/downloadpdf/3031965344754622253,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-10-20,2014,Certified Operator Response Form.doc,Certified Operator Response Form,Site / Miscellaneous,Routine,Conversion - SITE; Site 15637 / Site record,Conversion - SITE,,Site,15637,Site,-1554170949448187422,https://mienviro.michigan.gov/ncore/downloadpdf/-1554170949448187422,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
