ListPosition,DocMgmtId,URL,HTTP,Result,SavedFile,OriginalName,DocDate,Bytes,SHA256,Error
77,-4079459079770278084,https://mienviro.michigan.gov/ncore/downloadpdf/-4079459079770278084,200,VERIFIED_IDENTICAL,0077_2014-10-21_Compliance Communication.pdf,Compliance Communication.doc,2014-10-21,98766,44b3fa661ed2f8d6ed09cea0c311229e4e0f44246cfa5b4c0cdffbc89225f9c7,
78,5870795035956810268,https://mienviro.michigan.gov/ncore/downloadpdf/5870795035956810268,200,VERIFIED_IDENTICAL,0078_2014-10-22_2014_1022_Cadillac WWTP_Classification Letter.pdf,2014_1022_Cadillac WWTP_Classification Letter.pdf,2014-10-22,71614,3bc83a28c95da419bee3f8e17ce2ed728b5d45c2668fd0bbc0ea713183e1efdf,
79,-4058762933703698175,https://mienviro.michigan.gov/ncore/downloadpdf/-4058762933703698175,200,VERIFIED_IDENTICAL,0079_2014-11-25_Cadillac WWTP1014.pdf,Cadillac WWTP1014.xls,2014-11-25,101160,a0308d8f248ba7986d4938166dcd211f024ab8a152333037b738b4c9b870fdac,
80,-1099212723337640688,https://mienviro.michigan.gov/ncore/downloadpdf/-1099212723337640688,200,VERIFIED_IDENTICAL,0080_2014-11-26_1410104_1 ENVReport 10 30 2014 1323.pdf,1410104_1 ENVReport 10 30 2014 1323.pdf,2014-11-26,189242,508ddabbce6b892e879112fe0dbf3a605af61e350a34558fee22015611c3a2b0,
81,-668421988306006771,https://mienviro.michigan.gov/ncore/downloadpdf/-668421988306006771,200,VERIFIED_IDENTICAL,0081_2014-11-26_201411251653.pdf,201411251653.pdf,2014-11-26,37781,0c0fab880fe894ddc809268bc089d771d3067a25aa5adf99bffc25611d773a38,
82,-56918685861159494,https://mienviro.michigan.gov/ncore/downloadpdf/-56918685861159494,200,VERIFIED_IDENTICAL,0082_2014-11-26_201411261120.pdf,201411261120.pdf,2014-11-26,128640,217108fe818abbcf5e2009eb0b685f502d6ac86f1d732eabec71a599b700bb13,
83,274553011904573053,https://mienviro.michigan.gov/ncore/downloadpdf/274553011904573053,200,VERIFIED_IDENTICAL,0083_2014-11-26_CBOD5 Results.pdf,CBOD5 Results.pdf,2014-11-26,574818,c392515e94d5358613f503d6269485417b2ef70e41347a11050af47c46143bc7,
84,44608516278427039,https://mienviro.michigan.gov/ncore/downloadpdf/44608516278427039,200,VERIFIED_IDENTICAL,0084_2014-11-26_Fecal Coliform Results.pdf,Fecal Coliform Results.pdf,2014-11-26,179485,9e936250b3a3ac31179f3b2e968046f20b977a60896f7b60e4a51c2559c372d1,
85,-3695442185476720674,https://mienviro.michigan.gov/ncore/downloadpdf/-3695442185476720674,200,VERIFIED_IDENTICAL,0085_2014-11-26_available cyanide.pdf,available cyanide.pdf,2014-11-26,444306,5452d69c73337492b1c1c27b32eb802767862b60323d56015be35aacaacf7b0c,
86,1797615431681061467,https://mienviro.michigan.gov/ncore/downloadpdf/1797615431681061467,200,VERIFIED_IDENTICAL,0086_2015-03-31_2015_0331_Cadillac WWTP_2014 MMP Yearly Status Report.pdf,2015_0331_Cadillac WWTP_2014 MMP Yearly Status Report.pdf,2015-03-31,866014,26e7c52a1e2103ff46f9ab49f013494123961fd27aaa5953eec30f844993573b,
87,-3430155575482837490,https://mienviro.michigan.gov/ncore/downloadpdf/-3430155575482837490,200,VERIFIED_IDENTICAL,0087_2015-05-13_Pre-Inspection Report.pdf,Pre-Inspection Report.doc,2015-05-13,119143,3da57e8018fbdeb2474b90c359352df532d2b0d46fbb00e591841182ae0b49e2,
88,-7233250038345395334,https://mienviro.michigan.gov/ncore/downloadpdf/-7233250038345395334,200,VERIFIED_IDENTICAL,0088_2015-06-15_IPP Profile.pdf,IPP Profile.pdf,2015-06-15,893152,3d6cd5e0a57bed064fbc15d56f0f82fe356b49671b70358a5222484ac0803013,
89,2395269267701377445,https://mienviro.michigan.gov/ncore/downloadpdf/2395269267701377445,200,VERIFIED_IDENTICAL,0089_2015-06-15_IU Form 1.pdf,IU Form 1.pdf,2015-06-15,454914,4ef1028850304c56dccfc0621482b4c0c62372f1e7dec26bdcd555fc21a7e027,
90,2151347118259606317,https://mienviro.michigan.gov/ncore/downloadpdf/2151347118259606317,200,VERIFIED_IDENTICAL,0090_2015-06-15_IU Form 2.pdf,IU Form 2.pdf,2015-06-15,1233526,9f84067f8dd2aa93d43e6e0c0777c3008e0d7df1cf37e8e0798c83c0d72e8612,
91,-3501506775905898877,https://mienviro.michigan.gov/ncore/downloadpdf/-3501506775905898877,200,VERIFIED_IDENTICAL,0091_2015-06-15_Interview Jill Notes.pdf,Interview Jill Notes.pdf,2015-06-15,1117808,05788837212e56136be5c723b97e92f59ee2494f034b363061655996c6260f5f,
92,-2886740339491395619,https://mienviro.michigan.gov/ncore/downloadpdf/-2886740339491395619,200,VERIFIED_IDENTICAL,0092_2015-06-15_Interview Julie Notes.pdf,Interview Julie Notes.pdf,2015-06-15,1123127,4158539aa92412ec1ebb75366253f80237c97c4dc63909aff32617f9ef0a242c,
93,-4772097310601120319,https://mienviro.michigan.gov/ncore/downloadpdf/-4772097310601120319,200,VERIFIED_IDENTICAL,0093_2015-06-25_Gen'l Inspection Transmittal.pdf,Gen'l Inspection Transmittal.doc,2015-06-25,111485,6d0dbb1031e5d274a235d843a934959702e3b844552a5338de7e6a1e5ab1a058,
94,-8459938767715139506,https://mienviro.michigan.gov/ncore/downloadpdf/-8459938767715139506,200,VERIFIED_IDENTICAL,0094_2015-07-08_Fact Sheet.pdf,Fact Sheet.doc,2015-07-08,149154,4208a010fbb2ba933452c3c5fbc3a3ca11777d2ce6c45c37bbc398bf81eaa93c,
95,1276091315669172082,https://mienviro.michigan.gov/ncore/downloadpdf/1276091315669172082,200,VERIFIED_IDENTICAL,0095_2015-08-05_2015_0805_Cadillac WWTP_DMR QA-35.pdf,2015_0805_Cadillac WWTP_DMR QA-35.pdf,2015-08-05,720193,8593a5392d3c9f2a635cd3afcd985fdc92e636ab718757f46e6cfa487921abed,
96,2280799879135776031,https://mienviro.michigan.gov/ncore/downloadpdf/2280799879135776031,200,VERIFIED_IDENTICAL,0096_2015-08-28_DMR Daily - MI0020257 _07_01_2015_to_07_31_2015_V1.pdf,DMR Daily - MI0020257 _07_01_2015_to_07_31_2015_V1.docx,2015-08-28,121874,b5b470e06797e906d3556fb5ebd5b0a18477d36d5307f840f05bf28a70d6034d,
97,-1721928645533378386,https://mienviro.michigan.gov/ncore/downloadpdf/-1721928645533378386,200,VERIFIED_IDENTICAL,0097_2015-08-28_DMR Summary - MI0020257 _07_01_2015_to_07_31_2015_V1.pdf,DMR Summary - MI0020257 _07_01_2015_to_07_31_2015_V1.docx,2015-08-28,102980,947a21a4eb7c254d5a32b660e647f43f7f75006ab04eede030efcea056144faf,
98,5114320877368267073,https://mienviro.michigan.gov/ncore/downloadpdf/5114320877368267073,200,VERIFIED_IDENTICAL,0098_2015-09-18_DMR Daily - MI0020257 _08_01_2015_to_08_31_2015_V1.pdf,DMR Daily - MI0020257 _08_01_2015_to_08_31_2015_V1.docx,2015-09-18,121743,fb4cd4a3e56438fc39f3fd3d4582d8d6a6be1947918cadcefc1f3eb18ac21620,
99,1158228285416033370,https://mienviro.michigan.gov/ncore/downloadpdf/1158228285416033370,200,VERIFIED_IDENTICAL,0099_2015-09-18_DMR Summary - MI0020257 _08_01_2015_to_08_31_2015_V1.pdf,DMR Summary - MI0020257 _08_01_2015_to_08_31_2015_V1.docx,2015-09-18,103176,22c00fcd8d59688b4f4c91d754e7c02c373859ec4d826e97b4618aee3f95d525,
100,2634479280526975746,https://mienviro.michigan.gov/ncore/downloadpdf/2634479280526975746,200,VERIFIED_IDENTICAL,0100_2015-09-29_Cadillac Mod Public Notice Document.pdf,Cadillac Mod Public Notice Document.doc,2015-09-29,47071,daf374ea55eea648d78002f4da12326a5ecc439655c2600bd3fd0eacaaa988a6,
101,-264868687133678095,https://mienviro.michigan.gov/ncore/downloadpdf/-264868687133678095,200,VERIFIED_IDENTICAL,0101_2015-09-29_Cadillac WWTP CCH Petition.pdf,Cadillac WWTP CCH Petition.pdf,2015-09-29,2453804,f68f7933cc108a5ada3aea8dd9d4950c07a964839e684dc7556d220f6dd4f7fc,
102,7718544574668863958,https://mienviro.michigan.gov/ncore/downloadpdf/7718544574668863958,200,VERIFIED_IDENTICAL,0102_2015-09-30_Cadillac Mod Basis for Decision Memo.pdf,Cadillac Mod Basis for Decision Memo.doc,2015-09-30,74115,ca7b070f65a3649e3b837f73c084565beb8b0d30da5477f9df21f50747321046,
103,1246990738065777350,https://mienviro.michigan.gov/ncore/downloadpdf/1246990738065777350,200,VERIFIED_IDENTICAL,0103_2015-10-20_DMR Daily - MI0020257 _09_01_2015_to_09_30_2015_V1.pdf,DMR Daily - MI0020257 _09_01_2015_to_09_30_2015_V1.docx,2015-10-20,122193,f546130ef47035519cdb1f28f3838046427e8cacf0f2f9cdec6f84e376f8ca1b,
104,5720021817529393512,https://mienviro.michigan.gov/ncore/downloadpdf/5720021817529393512,200,VERIFIED_IDENTICAL,0104_2015-10-20_DMR Summary - MI0020257 _09_01_2015_to_09_30_2015_V1.pdf,DMR Summary - MI0020257 _09_01_2015_to_09_30_2015_V1.docx,2015-10-20,102922,2c0d57442e9a99dbba62e9073ae499f84e43089fd65253426ad9dbb92897033e,
105,3772272341703184968,https://mienviro.michigan.gov/ncore/downloadpdf/3772272341703184968,200,VERIFIED_IDENTICAL,0105_2015-10-30_2A6-E7TC-JQKM1.pdf,2A6-E7TC-JQKM1.pdf v1,2015-10-30,1045393,6570708222300e4f7b4fbc26e51dc09769b1f79ba6de40ecf07c2dcb36bec26c,
106,3033334029711207746,https://mienviro.michigan.gov/ncore/downloadpdf/3033334029711207746,200,VERIFIED_IDENTICAL,0106_2015-10-30_DMR Summary - MI0020257 _10_01_2014_to_09_30_2015_V1.pdf,DMR Summary - MI0020257 _10_01_2014_to_09_30_2015_V1.docx,2015-10-30,103199,beeb79d6ff4986620fdecd7a55ba7956c34b0de19109cea4116021afd52ca49b,
107,-751241790278250853,https://mienviro.michigan.gov/ncore/downloadpdf/-751241790278250853,200,VERIFIED_IDENTICAL,0107_2015-11-19_DMR Daily - MI0020257 _10_01_2015_to_10_31_2015_V1.pdf,DMR Daily - MI0020257 _10_01_2015_to_10_31_2015_V1.docx,2015-11-19,122768,5d15a3aac0427ded0bab49817fab70f00e2c5ab49be6dd3fd3a76f8ca92913a5,
108,-4008341624842458816,https://mienviro.michigan.gov/ncore/downloadpdf/-4008341624842458816,200,VERIFIED_IDENTICAL,0108_2015-11-19_DMR Summary - MI0020257 _10_01_2015_to_10_31_2015_V1.pdf,DMR Summary - MI0020257 _10_01_2015_to_10_31_2015_V1.docx,2015-11-19,102936,4af32883ededdf7f5c25e19c25897d2f67ef205f265956ee38ac869dc7c63139,
109,344392362451469223,https://mienviro.michigan.gov/ncore/downloadpdf/344392362451469223,200,VERIFIED_IDENTICAL,0109_2015-12-10_Cadillac Draft Permit for Issue.pdf,Cadillac Draft Permit for Issue.doc,2015-12-10,311501,a6e09a96382ec027c54a8c14a1141c1699296e0b53d381e1db8f0324cbaf6f0a,
110,-2076524723866920213,https://mienviro.michigan.gov/ncore/downloadpdf/-2076524723866920213,200,VERIFIED_IDENTICAL,0110_2015-12-19_DMR Daily - MI0020257 _11_01_2015_to_11_30_2015_V1.pdf,DMR Daily - MI0020257 _11_01_2015_to_11_30_2015_V1.docx,2015-12-19,121734,3d0895136655025f050f79a91dfaa51cf5cc62d4d779ad4dc830807a4485c520,
111,6280680775372517980,https://mienviro.michigan.gov/ncore/downloadpdf/6280680775372517980,200,VERIFIED_IDENTICAL,0111_2015-12-19_DMR Summary - MI0020257 _11_01_2015_to_11_30_2015_V1.pdf,DMR Summary - MI0020257 _11_01_2015_to_11_30_2015_V1.docx,2015-12-19,103165,f576a237fca57e6e35d1c6676616ce697a1413254ff654016b2f566c6e0712da,
112,-6731013379800742486,https://mienviro.michigan.gov/ncore/downloadpdf/-6731013379800742486,200,VERIFIED_IDENTICAL,0112_2016-01-11_Cadillac WWTP DMRQA 35.pdf,Cadillac WWTP DMRQA 35.pdf,2016-01-11,1284984,ae2f198299bb86cfbb0bf1e08756b3aab575a0d825e71677d8f70493ea8fc17b,
113,-8836688320995793733,https://mienviro.michigan.gov/ncore/downloadpdf/-8836688320995793733,200,VERIFIED_IDENTICAL,0113_2016-01-12_2010-2016_Cadillac WWTP_District Compliance File.pdf,2010-2016_Cadillac WWTP_District Compliance File.pdf,2016-01-12,29461464,9d6ad860baaf91d1aa61b170fe76d1e0571bb7726cbe8cc68da5a8c80ebdc24d,
114,-5447789093327103036,https://mienviro.michigan.gov/ncore/downloadpdf/-5447789093327103036,200,VERIFIED_IDENTICAL,0114_2016-01-19_DMR Daily - MI0020257 _12_01_2015_to_12_31_2015_V1.pdf,DMR Daily - MI0020257 _12_01_2015_to_12_31_2015_V1.docx,2016-01-19,124126,a899ea16e32a1964f36f21e544271676a5b3f162fdbcdd32460837aea9ad2703,
115,-4193025276374184094,https://mienviro.michigan.gov/ncore/downloadpdf/-4193025276374184094,200,VERIFIED_IDENTICAL,0115_2016-01-19_DMR Summary - MI0020257 _12_01_2015_to_12_31_2015_V1.pdf,DMR Summary - MI0020257 _12_01_2015_to_12_31_2015_V1.docx,2016-01-19,105393,e10e94fae0dfecffd74c6b88e82a6943bc68909b1a948ab0090b45ede79b601d,
116,-5568021370246960521,https://mienviro.michigan.gov/ncore/downloadpdf/-5568021370246960521,200,VERIFIED_IDENTICAL,0116_2016-01-25_ByPass notification 12-21-15.pdf,ByPass notification 12-21-15.pdf,2016-01-25,66723,8e59702f1f7fa263fd95720f27aff50fb9474c29b5d43e1e9c3fee779a6bc2bb,
117,-4582177045037647324,https://mienviro.michigan.gov/ncore/downloadpdf/-4582177045037647324,200,VERIFIED_IDENTICAL,0117_2016-01-25_Spill notification 1-12-16.pdf,Spill notification 1-12-16.pdf,2016-01-25,74053,c677de7c10e6deadf6820c52b05e3ac45ff9dffd54d0296af2d99ad80dc0725d,
118,449058570274793532,https://mienviro.michigan.gov/ncore/downloadpdf/449058570274793532,200,VERIFIED_IDENTICAL,0118_2016-02-04_2D2-X9KF-HB6N V2.pdf,2D2-X9KF-HB6N V2.pdf v1,2016-02-04,286634,65539533a19b593fc63557f10aefd3effe9d8bf4fd0be90917f141c0c0ab3300,
119,-7115642780883598587,https://mienviro.michigan.gov/ncore/downloadpdf/-7115642780883598587,200,VERIFIED_IDENTICAL,0119_2016-02-04_Mercury minimization plan letter revised V2.pdf,Mercury minimization plan letter revised V2.DOC v1,2016-02-04,233636,cedaf0754e943f240219819589f5a5c090f543c7f6a973253585b68c0d042377,
120,-5228663365988565838,https://mienviro.michigan.gov/ncore/downloadpdf/-5228663365988565838,200,VERIFIED_IDENTICAL,0120_2016-02-04_Violation Letter.Cadillac WWTP-Dietlin.pdf,Violation Letter.Cadillac WWTP-Dietlin.pdf,2016-02-04,737118,37ac85d03cbbe59e1302a27d68055f905cdb0053f7b18f1fdc9ebaa61a575483,
121,6525466383076021292,https://mienviro.michigan.gov/ncore/downloadpdf/6525466383076021292,200,VERIFIED_IDENTICAL,0121_2016-02-20_DMR Daily - MI0020257 _01_01_2016_to_01_31_2016_V1.pdf,DMR Daily - MI0020257 _01_01_2016_to_01_31_2016_V1.docx,2016-02-20,124190,583b88829be7849b306e263e11dcb1ff531863978d9af634a12f3f9e37314fbd,
122,-3488789892444246103,https://mienviro.michigan.gov/ncore/downloadpdf/-3488789892444246103,200,VERIFIED_IDENTICAL,0122_2016-02-20_DMR Summary - MI0020257 _01_01_2016_to_01_31_2016_V1.pdf,DMR Summary - MI0020257 _01_01_2016_to_01_31_2016_V1.docx,2016-02-20,105532,9d58801b45c8dd649e5daf9367318381489ddca8c8073227f156bcaaadcd21d8,
123,-6168521012883685018,https://mienviro.michigan.gov/ncore/downloadpdf/-6168521012883685018,200,VERIFIED_IDENTICAL,0123_2016-02-29_VN response from City.Feb 29 2016.pdf,VN response from City.Feb 29 2016.pdf,2016-02-29,1286177,e1b7446e4226eca442de365224878a4232a6798f99a9887f488387322a23b3e4,
124,-6884866009572813818,https://mienviro.michigan.gov/ncore/downloadpdf/-6884866009572813818,200,VERIFIED_IDENTICAL,0124_2016-03-16_DMR Daily - MI0020257 _02_01_2016_to_02_29_2016_V1.pdf,DMR Daily - MI0020257 _02_01_2016_to_02_29_2016_V1.docx,2016-03-16,122785,713e2ae49158a0f8ec123508559b4c72869a1ea98f55840d9c592cfb59fa9ac8,
125,-3461689102167870562,https://mienviro.michigan.gov/ncore/downloadpdf/-3461689102167870562,200,VERIFIED_IDENTICAL,0125_2016-03-16_DMR Summary - MI0020257 _02_01_2016_to_02_29_2016_V1.pdf,DMR Summary - MI0020257 _02_01_2016_to_02_29_2016_V1.docx,2016-03-16,105880,23753e39b1e3bbd77544b2e5052ab6f3b001e9321c03e49ece0f51277168db53,
126,-2502838247090599202,https://mienviro.michigan.gov/ncore/downloadpdf/-2502838247090599202,200,VERIFIED_IDENTICAL,0126_2016-04-18_DMR Daily - MI0020257 _03_01_2016_to_03_31_2016_V1.pdf,DMR Daily - MI0020257 _03_01_2016_to_03_31_2016_V1.docx,2016-04-18,124372,52861ed97ab03ce1cabf7f12018d30c64997ebcf15d066de1a86a5df1b9bd2de,
127,1049897993402206269,https://mienviro.michigan.gov/ncore/downloadpdf/1049897993402206269,200,VERIFIED_IDENTICAL,0127_2016-04-18_DMR Summary - MI0020257 _03_01_2016_to_03_31_2016_V1.pdf,DMR Summary - MI0020257 _03_01_2016_to_03_31_2016_V1.docx,2016-04-18,105558,99c7c1ad795d36e413c12c8003e5b25e3c24ae930130d59874a7e1be40aa319b,
128,-6425285818055725556,https://mienviro.michigan.gov/ncore/downloadpdf/-6425285818055725556,200,VERIFIED_IDENTICAL,0128_2016-05-16_DMR Daily - MI0020257 _04_01_2016_to_04_30_2016_V1.pdf,DMR Daily - MI0020257 _04_01_2016_to_04_30_2016_V1.docx,2016-05-16,124112,e3784867b57af6318612531be20bbf9768bdaa007a66e281635a27c68353a8df,
129,-4336303018773149137,https://mienviro.michigan.gov/ncore/downloadpdf/-4336303018773149137,200,VERIFIED_IDENTICAL,0129_2016-05-16_DMR Summary - MI0020257 _04_01_2016_to_04_30_2016_V1.pdf,DMR Summary - MI0020257 _04_01_2016_to_04_30_2016_V1.docx,2016-05-16,112438,4274d70b33b1f283d1b6089c4b38f115fa383a4fa9cb66c7e38d1f835ab8a7df,
130,-4750733240863552693,https://mienviro.michigan.gov/ncore/downloadpdf/-4750733240863552693,200,VERIFIED_IDENTICAL,0130_2016-05-16_Low Ph notice by City May 16 2016.pdf,Low Ph notice by City May 16 2016.pdf,2016-05-16,47161,79f44c921f974e46edbe3d32a876051cd9b9e8702431aef7537df689affc4525,
131,6177350560736608063,https://mienviro.michigan.gov/ncore/downloadpdf/6177350560736608063,200,VERIFIED_IDENTICAL,0131_2016-06-15_DMR Daily - MI0020257 _05_01_2016_to_05_31_2016_V1.pdf,DMR Daily - MI0020257 _05_01_2016_to_05_31_2016_V1.docx,2016-06-15,122472,81b4755c8254f15069198deb7df9e956337fc3935d4041d1cd7c38e48ca775ef,
132,-9054802322981204104,https://mienviro.michigan.gov/ncore/downloadpdf/-9054802322981204104,200,VERIFIED_IDENTICAL,0132_2016-06-15_DMR Summary - MI0020257 _05_01_2016_to_05_31_2016_V1.pdf,DMR Summary - MI0020257 _05_01_2016_to_05_31_2016_V1.docx,2016-06-15,103193,e5f901dcf686a7a9f12cb3ad7591fe4ad1282d9015f7aee32d291c1dcd1dc46d,
133,-2645731656519523748,https://mienviro.michigan.gov/ncore/downloadpdf/-2645731656519523748,200,VERIFIED_IDENTICAL,0133_2016-07-15_DMR Daily - MI0020257 _06_01_2016_to_06_30_2016_V1.pdf,DMR Daily - MI0020257 _06_01_2016_to_06_30_2016_V1.docx,2016-07-15,122336,08edaee8590c5fa5578ccb41e26ee53037eb210266efa0ba068d00fb77fd9fe8,
134,-6126364658004482120,https://mienviro.michigan.gov/ncore/downloadpdf/-6126364658004482120,200,VERIFIED_IDENTICAL,0134_2016-07-15_DMR Summary - MI0020257 _06_01_2016_to_06_30_2016_V1.pdf,DMR Summary - MI0020257 _06_01_2016_to_06_30_2016_V1.docx,2016-07-15,102942,21800141cc1057d10f67f263c85c0d1734524c78946b4616c908491687b399eb,
135,3518176617040371250,https://mienviro.michigan.gov/ncore/downloadpdf/3518176617040371250,200,VERIFIED_IDENTICAL,0135_2016-08-02_2016_0802_Cadillac WWTP_DMR QA-36.pdf,2016_0802_Cadillac WWTP_DMR QA-36.pdf,2016-08-02,1290302,a8bb9467f51dde7678fc1010fa2f79f3dee23ec414d965901ddd8bf80c5a799c,
136,1005010368843969925,https://mienviro.michigan.gov/ncore/downloadpdf/1005010368843969925,200,VERIFIED_IDENTICAL,0136_2016-08-12_DMR Daily - MI0020257 _07_01_2016_to_07_31_2016_V1.pdf,DMR Daily - MI0020257 _07_01_2016_to_07_31_2016_V1.docx,2016-08-12,123035,ca3cea0d6bb9d4a3613c4fb2c577754d0dd70faffca522671c47111ad0074a70,
137,-41646711706265012,https://mienviro.michigan.gov/ncore/downloadpdf/-41646711706265012,200,VERIFIED_IDENTICAL,0137_2016-08-12_DMR Summary - MI0020257 _07_01_2016_to_07_31_2016_V1.pdf,DMR Summary - MI0020257 _07_01_2016_to_07_31_2016_V1.docx,2016-08-12,109882,11f5f6e5de0167f9c1afac6b25871b22d70d507ca230341b537d0845cbaca684,
138,2071454628388704794,https://mienviro.michigan.gov/ncore/downloadpdf/2071454628388704794,200,VERIFIED_IDENTICAL,0138_2016-09-16_DMR Daily - MI0020257 _08_01_2016_to_08_31_2016_V1.pdf,DMR Daily - MI0020257 _08_01_2016_to_08_31_2016_V1.docx,2016-09-16,122533,0db5d511b9a4119a63b7af7290f2356daff13620bc88e3ceeef77b42d9fb6562,
139,-8864258566189946951,https://mienviro.michigan.gov/ncore/downloadpdf/-8864258566189946951,200,VERIFIED_IDENTICAL,0139_2016-09-16_DMR Summary - MI0020257 _08_01_2016_to_08_31_2016_V1.pdf,DMR Summary - MI0020257 _08_01_2016_to_08_31_2016_V1.docx,2016-09-16,103176,e7f9764dc9bfc77c561c3fad5eb7526e4ea19a5441b2176a88ff12f7f18fbe11,
140,-7163848156117307736,https://mienviro.michigan.gov/ncore/downloadpdf/-7163848156117307736,200,VERIFIED_IDENTICAL,0140_2016-10-18_DMR Daily - MI0020257 _09_01_2016_to_09_30_2016_V1.pdf,DMR Daily - MI0020257 _09_01_2016_to_09_30_2016_V1.docx,2016-10-18,122282,6f979a1fd6cd9e597f977f17a30e29a8811b10439a69cd9406faae9f3962ada7,
141,-5500870070273347359,https://mienviro.michigan.gov/ncore/downloadpdf/-5500870070273347359,200,VERIFIED_IDENTICAL,0141_2016-10-18_DMR Summary - MI0020257 _09_01_2016_to_09_30_2016_V1.pdf,DMR Summary - MI0020257 _09_01_2016_to_09_30_2016_V1.docx,2016-10-18,102928,466137bd194e2ed91e37e781ff20eaba7de16c84e29f3cb988bfd8747e1e2c83,
142,-3521121797145537515,https://mienviro.michigan.gov/ncore/downloadpdf/-3521121797145537515,200,VERIFIED_IDENTICAL,0142_2016-10-25_2KJ-C2SF-H1BF V1.pdf,2KJ-C2SF-H1BF V1.pdf v1,2016-10-25,51577,34515de74ab207493994bcafd5e2dbb643a658e1940632483f50d8dbadfa41ec,
143,-8068360832484337569,https://mienviro.michigan.gov/ncore/downloadpdf/-8068360832484337569,200,VERIFIED_IDENTICAL,0143_2016-10-25_DMR Summary - MI0020257 _10_01_2015_to_09_30_2016_V1.pdf,DMR Summary - MI0020257 _10_01_2015_to_09_30_2016_V1.docx,2016-10-25,103056,61ed848f21560b247e951ff0a5f5e312e13ab82fc540e3bddc717b1435537091,
144,1524244019210258858,https://mienviro.michigan.gov/ncore/downloadpdf/1524244019210258858,200,VERIFIED_IDENTICAL,0144_2016-11-17_DMR Daily - MI0020257 _10_01_2016_to_10_31_2016_V1.pdf,DMR Daily - MI0020257 _10_01_2016_to_10_31_2016_V1.docx,2016-11-17,122755,cfa2d139f7d1d098463c949eec7ccf63e9037b5b90e351df5fa76c14a943106f,
145,5880887913847657693,https://mienviro.michigan.gov/ncore/downloadpdf/5880887913847657693,200,VERIFIED_IDENTICAL,0145_2016-11-17_DMR Summary - MI0020257 _10_01_2016_to_10_31_2016_V1.pdf,DMR Summary - MI0020257 _10_01_2016_to_10_31_2016_V1.docx,2016-11-17,102971,ef8a18325f3126bdf098fb3f20d7add58323b7b1194f522d0e2d8fdbd3151026,
146,4594408055865795856,https://mienviro.michigan.gov/ncore/downloadpdf/4594408055865795856,200,VERIFIED_IDENTICAL,0146_2016-12-06_DMRQA 36.Cadillac WWTP.pdf,DMRQA 36.Cadillac WWTP.pdf,2016-12-06,1449684,80f09f03f46a92a716a45d644639b65aecb6ce5f6a0ec9cfc3449290ece26537,
147,-570299436410721715,https://mienviro.michigan.gov/ncore/downloadpdf/-570299436410721715,200,VERIFIED_IDENTICAL,0147_2016-12-16_DMR Daily - MI0020257 _11_01_2016_to_11_30_2016_V1.pdf,DMR Daily - MI0020257 _11_01_2016_to_11_30_2016_V1.docx,2016-12-16,121867,d42bf2c847d4300e1e1ce8a66ba1d2392dc8bd027a3d7868279317865a0c2f20,
148,8936787219842147076,https://mienviro.michigan.gov/ncore/downloadpdf/8936787219842147076,200,VERIFIED_IDENTICAL,0148_2016-12-16_DMR Summary - MI0020257 _11_01_2016_to_11_30_2016_V1.pdf,DMR Summary - MI0020257 _11_01_2016_to_11_30_2016_V1.docx,2016-12-16,103233,3ec40507a276fd3d08fecacffce92ea59382687fb2378a713ece67c53a84c134,
149,4872492887140551247,https://mienviro.michigan.gov/ncore/downloadpdf/4872492887140551247,200,VERIFIED_IDENTICAL,0149_2017-01-19_DMR Daily - MI0020257 _12_01_2016_to_12_31_2016_V1.pdf,DMR Daily - MI0020257 _12_01_2016_to_12_31_2016_V1.docx,2017-01-19,124593,c2e3b3bf9305acc491d6ac873ed4732d1c520266914d91e3b42c78e7e0f6d139,
150,-7309370182573156453,https://mienviro.michigan.gov/ncore/downloadpdf/-7309370182573156453,200,VERIFIED_IDENTICAL,0150_2017-01-19_DMR Summary - MI0020257 _12_01_2016_to_12_31_2016_V1.pdf,DMR Summary - MI0020257 _12_01_2016_to_12_31_2016_V1.docx,2017-01-19,112282,47acbe82eb06dd2fef4f63adeffc2123953723710b2cbcae1559aa29a9962f4e,
151,-563435129997574625,https://mienviro.michigan.gov/ncore/downloadpdf/-563435129997574625,200,VERIFIED_IDENTICAL,0151_2017-02-14_DMR Daily - MI0020257 _01_01_2017_to_01_31_2017_V1.pdf,DMR Daily - MI0020257 _01_01_2017_to_01_31_2017_V1.docx,2017-02-14,124485,6fd37596745ef7831454820ab08f3c5711c6889c27f5746576e83185bf025497,
152,-241954493317709276,https://mienviro.michigan.gov/ncore/downloadpdf/-241954493317709276,200,VERIFIED_IDENTICAL,0152_2017-02-14_DMR Summary - MI0020257 _01_01_2017_to_01_31_2017_V1.pdf,DMR Summary - MI0020257 _01_01_2017_to_01_31_2017_V1.docx,2017-02-14,105488,6526ca7d21a1c90592c394dbd44157c18eca3da9090c3b08bca13b9c56f4cf64,
153,-5281439668552468208,https://mienviro.michigan.gov/ncore/downloadpdf/-5281439668552468208,200,VERIFIED_IDENTICAL,0153_2017-03-16_DMR Daily - MI0020257 _02_01_2017_to_02_28_2017_V1.pdf,DMR Daily - MI0020257 _02_01_2017_to_02_28_2017_V1.docx,2017-03-16,119862,38cf7ae1289c5a4d612963edef73b1cac404e67500c4455f3851ec0751b7d8d9,
