ListPosition,DocMgmtId,URL,HTTP,Result,SavedFile,OriginalName,DocDate,Bytes,SHA256,Error
11,9070706673294423682,https://mienviro.michigan.gov/ncore/downloadpdf/9070706673294423682,200,VERIFIED_IDENTICAL,0011_2011-08-05_2011_0805_Cadillac WWTP_DMR QA-31.pdf,2011_0805_Cadillac WWTP_DMR QA-31.pdf,2011-08-05,1093260,a5901abb04e2a765f74e83ec7ea53c7a3b391a8bf1dc0556da3f9c3f40039a60,
12,-8849600511584876014,https://mienviro.michigan.gov/ncore/downloadpdf/-8849600511584876014,200,VERIFIED_IDENTICAL,0012_2012-01-18_Cadillac WWTP Must Apply Letter.pdf,Cadillac WWTP Must Apply Letter.pdf,2012-01-18,69853,7569ec8ae87d50dee24699d9db6e62e4d8d2d21a9a58a5fe4e492aeeb098ec30,
13,-7021570928602701902,https://mienviro.michigan.gov/ncore/downloadpdf/-7021570928602701902,200,VERIFIED_IDENTICAL,0013_2012-03-26_Cadillac WWTP Application.pdf,Cadillac WWTP Application.pdf,2012-03-26,1139694,28cb3d356292e14a94408479230900bab0e3cf46d529981b22f1b64a1f0b46d4,
14,-6207937354821693834,https://mienviro.michigan.gov/ncore/downloadpdf/-6207937354821693834,200,VERIFIED_IDENTICAL,0014_2012-03-26_Cadillac WWTP Fish Toxicity Tests.pdf,Cadillac WWTP Fish Toxicity Tests.pdf,2012-03-26,985996,2a5e3726b488037723dcddc41c4a97d7e706fef604053ede27f5d82c976868c0,
15,-2618602197135988934,https://mienviro.michigan.gov/ncore/downloadpdf/-2618602197135988934,200,VERIFIED_IDENTICAL,0015_2012-03-26_Cadillac WWTP Maps and Flow.pdf,Cadillac WWTP Maps and Flow.pdf,2012-03-26,846280,54ae24b7e6c0f7e5b4f317b358ef487df1801b2930dd300c85a09af28d904651,
16,-4772999631657362957,https://mienviro.michigan.gov/ncore/downloadpdf/-4772999631657362957,200,VERIFIED_IDENTICAL,0016_2012-03-26_Cadillac WWTP Mercury Tests.pdf,Cadillac WWTP Mercury Tests.pdf,2012-03-26,706291,4f2b2efb5ea09f54a548131d0415de1f6f208284ef9582708e480342b5011977,
17,2606761043345214758,https://mienviro.michigan.gov/ncore/downloadpdf/2606761043345214758,200,VERIFIED_IDENTICAL,0017_2012-03-26_Cadillac WWTP SIU Information.pdf,Cadillac WWTP SIU Information.pdf,2012-03-26,498131,4e9a0cdf01891e70d6ba197d3ed3a96d1949ca777ff58e7a0cd26818ff307846,
18,-605910068122278034,https://mienviro.michigan.gov/ncore/downloadpdf/-605910068122278034,200,VERIFIED_IDENTICAL,0018_2012-03-26_Cadillac WWTP Septage Information.pdf,Cadillac WWTP Septage Information.pdf,2012-03-26,948370,760656b79f1f4e150bc02ea7de18ba062ed4898461513cea98d059031b163b51,
19,4716295422139915510,https://mienviro.michigan.gov/ncore/downloadpdf/4716295422139915510,200,VERIFIED_IDENTICAL,0019_2012-03-26_Cadillac WWTP Test Results.pdf,Cadillac WWTP Test Results.pdf,2012-03-26,1908321,09e84279f368e33f840ccaa0aa476a90c42018fea996d0ce31054200c62ee9cb,
20,2907549657209812738,https://mienviro.michigan.gov/ncore/downloadpdf/2907549657209812738,200,VERIFIED_IDENTICAL,0020_2012-04-11_Cadillac WWTP NEC.pdf,Cadillac WWTP NEC.pdf,2012-04-11,144025,f91bc1d16ef317f63e4cc5171be940e63db4995da8ea56d1e7fd4c401a5a76a2,
21,-2140745704635662606,https://mienviro.michigan.gov/ncore/downloadpdf/-2140745704635662606,200,VERIFIED_IDENTICAL,0021_2012-08-17_2012_0817_Cadillac WWTP_DMR QA-32.pdf,2012_0817_Cadillac WWTP_DMR QA-32.pdf,2012-08-17,486036,080148d335509f04f7c17d3b300bde65d3337e936b63b3783ca47a2d3c4e5b16,
22,-2587941060086653778,https://mienviro.michigan.gov/ncore/downloadpdf/-2587941060086653778,200,VERIFIED_IDENTICAL,0022_2012-11-09_WQBEL Memo - Conventionals.pdf,WQBEL Memo - Conventionals.doc,2012-11-09,57464,010e59bfec55326f2ba3a17123f954670730ab3332af3d09eee153951c6e5aa3,
23,-750857842152552655,https://mienviro.michigan.gov/ncore/downloadpdf/-750857842152552655,200,VERIFIED_IDENTICAL,0023_2013-03-09_Application Complete Checklist.pdf,Application Complete Checklist.doc,2013-03-09,94422,a8467842a68c4956397f1ee6a88e663a9cc0b83b25ccea27fe7d9dc3afb98153,
24,-8853155827505618463,https://mienviro.michigan.gov/ncore/downloadpdf/-8853155827505618463,200,VERIFIED_IDENTICAL,0024_2013-04-18_WQBEL Memo - Toxics.pdf,WQBEL Memo - Toxics.doc,2013-04-18,65700,2b0126ecff7a2c1c97c609baa1d7344905ae4ea6dd4b298a9b6c6f7d1e891ebd,
25,8407029926974047625,https://mienviro.michigan.gov/ncore/downloadpdf/8407029926974047625,200,VERIFIED_IDENTICAL,0025_2013-05-02_CadillacWWTP_FS.pdf,CadillacWWTP_FS.pdf,2013-05-02,150653,7621bc53d1a129b74d1df6e7fddcc25b56a11e9bf9c0f5683dd08aca00b5a4d3,
26,-4758370497540417923,https://mienviro.michigan.gov/ncore/downloadpdf/-4758370497540417923,200,VERIFIED_IDENTICAL,0026_2013-05-17_Application Compliance Comments.pdf,Application Compliance Comments.doc,2013-05-17,77701,3357401135d7a3f3fab54349edb6eef19edb0d36bd79a82d4d7fe344104f99d4,
27,8273775742265584790,https://mienviro.michigan.gov/ncore/downloadpdf/8273775742265584790,200,VERIFIED_IDENTICAL,0027_2013-05-20_Permit Template - Municipal.pdf,Permit Template - Municipal.doc,2013-05-20,312646,138b35bfde0e9834bb8bc720af2a53b3746ef4b7ec8a39e599c378b7589388ec,
28,103605179192073784,https://mienviro.michigan.gov/ncore/downloadpdf/103605179192073784,200,VERIFIED_IDENTICAL,0028_2013-05-21_Fact Sheet.pdf,Fact Sheet.doc,2013-05-21,148677,8c90a77c94c4c47d904a0a76068fce14f071a6f27aaf4abb38476e6742711607,
29,6383819432886238526,https://mienviro.michigan.gov/ncore/downloadpdf/6383819432886238526,200,VERIFIED_IDENTICAL,0029_2013-05-22_Basis for Decision Memo.pdf,Basis for Decision Memo.doc,2013-05-22,93942,7c5d554fdfd836f1292052c6fbabeb370fbc4a1df7dcba6230e680eb56f949eb,
30,4068333476844843234,https://mienviro.michigan.gov/ncore/downloadpdf/4068333476844843234,200,VERIFIED_IDENTICAL,0030_2013-05-23_Issued Letter - Individual Permit.pdf,Issued Letter - Individual Permit.doc,2013-05-23,78229,dcdd5cb57f01a3bfb522851fe07ad9b023d671ba4e56319a2b6af6b6c272156d,
