ViolRefViolCatgDescr,ViolRefViolTypeDescr,ViolRefViolStatDescr,ViolNonCmplStartDate,ViolViolNotifCmnts,ViolDescr,EvalEvalNum,EvalRefEvalTypeDescr
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/26/2012 12:00:00 AM",,WRD - NPDES,E-4348-E6-25BD,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/12/2012 12:00:00 AM",,WRD - NPDES,E-4348-E6-25BD,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/11/2012 12:00:00 AM",,WRD - NPDES,E-4348-E6-25BD,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/10/2012 12:00:00 AM",,WRD - NPDES,E-9BCC-6F-3AF7,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/10/2012 12:00:00 AM",,WRD - NPDES,E-9BCC-6F-3AF7,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/10/2012 12:00:00 AM",,WRD - NPDES,E-9BCC-6F-3AF7,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/8/2012 12:00:00 AM",,WRD - NPDES,E-9BCC-6F-3AF7,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/8/2012 12:00:00 AM",,WRD - NPDES,E-9BCC-6F-3AF7,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/8/2012 12:00:00 AM",,WRD - NPDES,E-9BCC-6F-3AF7,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"5/25/2012 12:00:00 AM",,WRD - NPDES,E-2C3D-93-E3A7,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"5/25/2012 12:00:00 AM",,WRD - NPDES,E-2C3D-93-E3A7,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"5/21/2012 12:00:00 AM",,WRD - NPDES,E-2C3D-93-E3A7,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"5/21/2012 12:00:00 AM",,WRD - NPDES,E-2C3D-93-E3A7,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"3/31/2012 12:00:00 AM",,WRD - NPDES,E-886A-8A-DCE2,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"10/3/2011 12:00:00 AM",,WRD - NPDES,E-DE6A-7F-61F4,DMR Violation Evaluation (Converted) - NPDES
