ViolRefViolCatgDescr,ViolRefViolTypeDescr,ViolRefViolStatDescr,ViolNonCmplStartDate,ViolViolNotifCmnts,ViolDescr,EvalEvalNum,EvalRefEvalTypeDescr
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/30/2007 12:00:00 AM",,WRD - NPDES,E-73F7-6E-3F7B,DMR Violation Evaluation (Converted) - NPDES
Schedule of Compliance,Compliance Schedule Not Received by Due Date (Permit),Active – Not Reviewed,"4/1/2007 12:00:00 AM",,,E-8CAE-DE-C3D1,Compliance Schedule Evaluation
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"3/31/2007 12:00:00 AM",,WRD - NPDES,E-359D-F7-1D71,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"12/10/2006 12:00:00 AM",,WRD - NPDES,E-6264-C9-CD5A,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"12/9/2006 12:00:00 AM",,WRD - NPDES,E-6264-C9-CD5A,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"12/8/2006 12:00:00 AM",,WRD - NPDES,E-6264-C9-CD5A,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"12/7/2006 12:00:00 AM",,WRD - NPDES,E-6264-C9-CD5A,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"9/30/2005 12:00:00 AM",,WRD - NPDES,E-2CE6-A3-1373,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/1/2005 12:00:00 AM",,WRD - NPDES,E-1385-61-9FE9,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"7/31/2005 12:00:00 AM",,WRD - NPDES,E-CF5B-52-132C,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"7/31/2005 12:00:00 AM",,WRD - NPDES,E-CF5B-52-132C,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"7/31/2005 12:00:00 AM",,WRD - NPDES,E-CF5B-52-132C,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"7/31/2005 12:00:00 AM",,WRD - NPDES,E-CF5B-52-132C,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"7/31/2005 12:00:00 AM",,WRD - NPDES,E-CF5B-52-132C,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"7/31/2005 12:00:00 AM",,WRD - NPDES,E-CF5B-52-132C,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"7/31/2005 12:00:00 AM",,WRD - NPDES,E-CF5B-52-132C,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"6/30/2005 12:00:00 AM",,WRD - NPDES,E-C364-66-1AD9,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"5/22/2005 12:00:00 AM",,WRD - NPDES,E-6F61-7A-7E72,DMR Violation Evaluation (Converted) - NPDES
Schedule of Compliance,Compliance Schedule Not Received by Due Date (Permit),Active – Reviewed/Evaluated,"4/22/2005 12:00:00 AM",,,E-C853-E3-ED48,Compliance Schedule Evaluation
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"3/31/2005 12:00:00 AM",,WRD - NPDES,E-8A59-F9-2625,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"5/31/2004 12:00:00 AM",,WRD - NPDES,E-DBD2-D7-BDFA,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"4/30/2004 12:00:00 AM",,WRD - NPDES,E-D46F-73-B3A6,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"4/30/2004 12:00:00 AM",,WRD - NPDES,E-D46F-73-B3A6,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"1/31/2004 12:00:00 AM",,WRD - NPDES,E-66C6-A5-2A23,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"1/31/2004 12:00:00 AM",,WRD - NPDES,E-66C6-A5-2A23,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"8/31/2003 12:00:00 AM",,WRD - NPDES,E-58C3-17-96CE,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"8/31/2003 12:00:00 AM",,WRD - NPDES,E-58C3-17-96CE,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Concentration maximum value or unit not reported (Permit),Active – Not Reviewed,"8/31/2003 12:00:00 AM",,WRD - NPDES,E-58C3-17-96CE,DMR Violation Evaluation (Converted) - NPDES
