Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0012,0012_2012-01-18_Cadillac WWTP Must Apply Letter.pdf,Cadillac WWTP Must Apply Letter.pdf,2012-01-18,,Conversion - SITE,n/a,Site,15637,Site,-8849600511584876014,https://mienviro.michigan.gov/ncore/downloadpdf/-8849600511584876014,69853,7569ec8ae87d50dee24699d9db6e62e4d8d2d21a9a58a5fe4e492aeeb098ec30,OK,
0070,0070_2014-10-17_Basis for Decision Memo-Classification.pdf,Basis for Decision Memo-Classification.doc,2014-10-17,Basis for Decision Memo-Classification,Conversion - SITE,n/a,Site,15637,Site,3031965344754622253,https://mienviro.michigan.gov/ncore/downloadpdf/3031965344754622253,50582,05fa7600f100f1ebc8ba8d8742f59e5886e73277e0ec05019d76460fb0b953c2,OK,
0071,0071_2014-10-20_Certified Operator Response Form.pdf,Certified Operator Response Form.doc,2014-10-20,Certified Operator Response Form,Conversion - SITE,n/a,Site,15637,Site,-1554170949448187422,https://mienviro.michigan.gov/ncore/downloadpdf/-1554170949448187422,29432,7bd6c500a9f12e34ba429591b8ee7bc9f9f2b00b8fe98170dffb8e6ec4543572,OK,
