Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2017-04-03,2017,Hutchinson.docx v1,Hutchinson.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-1348128324309124463,https://mienviro.michigan.gov/ncore/downloadpdf/-1348128324309124463,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,Kar Lab Biosolids 3-14-2016.pdf v1,Kar Lab Biosolids 3-14-2016.pdf,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-308826788854237261,https://mienviro.michigan.gov/ncore/downloadpdf/-308826788854237261,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,Kar Lab Biosolids 9-12-2016.pdf v1,Kar Lab Biosolids 9-12-2016.pdf,Biosolids / Land Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-3238540496460905709,https://mienviro.michigan.gov/ncore/downloadpdf/-3238540496460905709,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,Michigan Rubber.docx v1,Michigan Rubber.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),832209690549104746,https://mienviro.michigan.gov/ncore/downloadpdf/832209690549104746,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,Munson.docx v1,Munson.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-4576801597538136401,https://mienviro.michigan.gov/ncore/downloadpdf/-4576801597538136401,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,NPDES.pdf v1,NPDES.pdf,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),4641308164668318184,https://mienviro.michigan.gov/ncore/downloadpdf/4641308164668318184,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,PIRANHA.docx v1,PIRANHA.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-4580690770354640221,https://mienviro.michigan.gov/ncore/downloadpdf/-4580690770354640221,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,Paragon Wet Test (1).pdf v1,Paragon Wet Test (1).pdf,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),1852969813164958154,https://mienviro.michigan.gov/ncore/downloadpdf/1852969813164958154,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,Paragon Wet Test (3).pdf v1,Paragon Wet Test (3).pdf,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-8713293357649151288,https://mienviro.michigan.gov/ncore/downloadpdf/-8713293357649151288,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,Paragon Wet Test.pdf v1,Paragon Wet Test.pdf,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),6932780206728288696,https://mienviro.michigan.gov/ncore/downloadpdf/6932780206728288696,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
