Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0081,0081_2014-11-26_201411251653.pdf,201411251653.pdf,2014-11-26,DEQ Test Data Evaluation,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-668421988306006771,https://mienviro.michigan.gov/ncore/downloadpdf/-668421988306006771,37781,0c0fab880fe894ddc809268bc089d771d3067a25aa5adf99bffc25611d773a38,OK,
0082,0082_2014-11-26_201411261120.pdf,201411261120.pdf,2014-11-26,Cadillac WWTP Inspection Complete Checklist Inspection ID 56545,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-56918685861159494,https://mienviro.michigan.gov/ncore/downloadpdf/-56918685861159494,128640,217108fe818abbcf5e2009eb0b685f502d6ac86f1d732eabec71a599b700bb13,OK,
0083,0083_2014-11-26_CBOD5 Results.pdf,CBOD5 Results.pdf,2014-11-26,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),274553011904573053,https://mienviro.michigan.gov/ncore/downloadpdf/274553011904573053,574818,c392515e94d5358613f503d6269485417b2ef70e41347a11050af47c46143bc7,OK,
0084,0084_2014-11-26_Fecal Coliform Results.pdf,Fecal Coliform Results.pdf,2014-11-26,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),44608516278427039,https://mienviro.michigan.gov/ncore/downloadpdf/44608516278427039,179485,9e936250b3a3ac31179f3b2e968046f20b977a60896f7b60e4a51c2559c372d1,OK,
0085,0085_2014-11-26_available cyanide.pdf,available cyanide.pdf,2014-11-26,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-3695442185476720674,https://mienviro.michigan.gov/ncore/downloadpdf/-3695442185476720674,444306,5452d69c73337492b1c1c27b32eb802767862b60323d56015be35aacaacf7b0c,OK,
0088,0088_2015-06-15_IPP Profile.pdf,IPP Profile.pdf,2015-06-15,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),-7233250038345395334,https://mienviro.michigan.gov/ncore/downloadpdf/-7233250038345395334,893152,3d6cd5e0a57bed064fbc15d56f0f82fe356b49671b70358a5222484ac0803013,OK,
0089,0089_2015-06-15_IU Form 1.pdf,IU Form 1.pdf,2015-06-15,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),2395269267701377445,https://mienviro.michigan.gov/ncore/downloadpdf/2395269267701377445,454914,4ef1028850304c56dccfc0621482b4c0c62372f1e7dec26bdcd555fc21a7e027,OK,
0090,0090_2015-06-15_IU Form 2.pdf,IU Form 2.pdf,2015-06-15,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),2151347118259606317,https://mienviro.michigan.gov/ncore/downloadpdf/2151347118259606317,1233526,9f84067f8dd2aa93d43e6e0c0777c3008e0d7df1cf37e8e0798c83c0d72e8612,OK,
0091,0091_2015-06-15_Interview Jill Notes.pdf,Interview Jill Notes.pdf,2015-06-15,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),-3501506775905898877,https://mienviro.michigan.gov/ncore/downloadpdf/-3501506775905898877,1117808,05788837212e56136be5c723b97e92f59ee2494f034b363061655996c6260f5f,OK,
0092,0092_2015-06-15_Interview Julie Notes.pdf,Interview Julie Notes.pdf,2015-06-15,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),-2886740339491395619,https://mienviro.michigan.gov/ncore/downloadpdf/-2886740339491395619,1123127,4158539aa92412ec1ebb75366253f80237c97c4dc63909aff32617f9ef0a242c,OK,
