Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0167,0167_2017-04-03_CRE.pdf,CRE.docx v1,2017-04-03,CRE.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-5332488901169956875,https://mienviro.michigan.gov/ncore/downloadpdf/-5332488901169956875,56267,ce8f5e5b074fe3836e617d40869de0e61a243257604757e348fe7e9d2d41b83d,OK,
0168,0168_2017-04-03_FIAMM.pdf,FIAMM.docx v1,2017-04-03,FIAMM.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),5769919426026990647,https://mienviro.michigan.gov/ncore/downloadpdf/5769919426026990647,56239,eca400f5276e1a697f0adc3dc418a3a6adf58e5b7e959b0350e532fd64310814,OK,
0169,0169_2017-04-03_Hutchinson.pdf,Hutchinson.docx v1,2017-04-03,Hutchinson.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-1348128324309124463,https://mienviro.michigan.gov/ncore/downloadpdf/-1348128324309124463,56331,300b12f5bac01c598f28d06e74735e5d6526e79c4bff87ab9673f96ea464b7bb,OK,
0170,0170_2017-04-03_Kar Lab Biosolids 3-14-2016.pdf,Kar Lab Biosolids 3-14-2016.pdf v1,2017-04-03,Kar Lab Biosolids 3-14-2016.pdf,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-308826788854237261,https://mienviro.michigan.gov/ncore/downloadpdf/-308826788854237261,205482,bd137883a668c306604973b5ed859ccbb37849737d9521c00566180dd10a5a7b,OK,
0171,0171_2017-04-03_Kar Lab Biosolids 9-12-2016.pdf,Kar Lab Biosolids 9-12-2016.pdf v1,2017-04-03,Kar Lab Biosolids 9-12-2016.pdf,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-3238540496460905709,https://mienviro.michigan.gov/ncore/downloadpdf/-3238540496460905709,174285,8fc0c2a99849158b52044fb4f3eb4db0a4b69c5e36af00571c51e8c4760c94dd,OK,
0172,0172_2017-04-03_Michigan Rubber.pdf,Michigan Rubber.docx v1,2017-04-03,Michigan Rubber.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),832209690549104746,https://mienviro.michigan.gov/ncore/downloadpdf/832209690549104746,56254,84dea7e2aaf875960691455b97a26b1a187d6fcab0d17d170e3edd860d76b19e,OK,
0173,0173_2017-04-03_Munson.pdf,Munson.docx v1,2017-04-03,Munson.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-4576801597538136401,https://mienviro.michigan.gov/ncore/downloadpdf/-4576801597538136401,55566,a69594bc30d33cd3b0d42389c14f529b358844b3bd7333966757542e48c60275,OK,
0174,0174_2017-04-03_NPDES.pdf,NPDES.pdf v1,2017-04-03,NPDES.pdf,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),4641308164668318184,https://mienviro.michigan.gov/ncore/downloadpdf/4641308164668318184,60529,f809ae7f23d8bb9fcb21aed5b0c1c9fdadf217b707960b09bfe12c7d1a67f689,OK,
0175,0175_2017-04-03_PIRANHA.pdf,PIRANHA.docx v1,2017-04-03,PIRANHA.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-4580690770354640221,https://mienviro.michigan.gov/ncore/downloadpdf/-4580690770354640221,55931,af29116f6a0e0a14483b11ae3b2848a345e95d81e3719de9ad7925413caa88aa,OK,
0176,0176_2017-04-03_Paragon Wet Test (1).pdf,Paragon Wet Test (1).pdf v1,2017-04-03,Paragon Wet Test (1).pdf,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),1852969813164958154,https://mienviro.michigan.gov/ncore/downloadpdf/1852969813164958154,624166,ddc483599a44082438fc6686f61cd58045f0ba27210e66a3f3a192d2905c5a9f,OK,
