Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0028,0028_2013-05-21_Fact Sheet.pdf,Fact Sheet.doc,2013-05-21,Fact Sheet,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,103605179192073784,https://mienviro.michigan.gov/ncore/downloadpdf/103605179192073784,148677,8c90a77c94c4c47d904a0a76068fce14f071a6f27aaf4abb38476e6742711607,OK,
0029,0029_2013-05-22_Basis for Decision Memo.pdf,Basis for Decision Memo.doc,2013-05-22,Basis for Decision Memo,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6383819432886238526,https://mienviro.michigan.gov/ncore/downloadpdf/6383819432886238526,93942,7c5d554fdfd836f1292052c6fbabeb370fbc4a1df7dcba6230e680eb56f949eb,OK,
0030,0030_2013-05-23_Issued Letter - Individual Permit.pdf,Issued Letter - Individual Permit.doc,2013-05-23,Issued Letter - Individual Permit,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,4068333476844843234,https://mienviro.michigan.gov/ncore/downloadpdf/4068333476844843234,78229,dcdd5cb57f01a3bfb522851fe07ad9b023d671ba4e56319a2b6af6b6c272156d,OK,
0031,0031_2013-05-23_Pre-Public Notice Letter.pdf,Pre-Public Notice Letter.doc,2013-05-23,Pre-Public Notice Letter,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3570540961383078534,https://mienviro.michigan.gov/ncore/downloadpdf/-3570540961383078534,44515,fb21b621420c347113c279bd2b783f080187ab43c4a97d3c4c91d3c139a1e0e2,OK,
0032,0032_2013-05-23_Public Notice Document.pdf,Public Notice Document.doc,2013-05-23,Public Notice Document,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2042187794808505003,https://mienviro.michigan.gov/ncore/downloadpdf/2042187794808505003,47965,9c5eca55f50298a7b279e45f5a62f69511ee247c2c6e18b3cf83b6fae08a2011,OK,
0033,0033_2013-06-07_Cadillac WWTP IPP 2011.pdf,Cadillac WWTP IPP 2011.pdf,2013-06-07,,Conversion - Permit,WRD - NPDES,Application/Request,ce_soc_detail-25458,Schedule - Michigan Industrial Pretreatment Program Annual Report,7597357992452969174,https://mienviro.michigan.gov/ncore/downloadpdf/7597357992452969174,2936846,8191c7e18aac4f155de74b11e2233529db07192506e5b38ba238ae3e5a3a44fa,OK,
0034,0034_2013-07-17_Cadillac PPN Email.pdf,Cadillac PPN Email.pdf,2013-07-17,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,691496640525586540,https://mienviro.michigan.gov/ncore/downloadpdf/691496640525586540,24670,fc4cdee2334ed73e36faf276f8e77870c2bda256e084183cfd41565d87f66524,OK,
0035,0035_2013-07-17_Cadillac WWTP Draft Permit.pdf,Cadillac WWTP Draft Permit.pdf,2013-07-17,PPN Permit,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6433966495781532147,https://mienviro.michigan.gov/ncore/downloadpdf/6433966495781532147,146258,eab262c18ad36bc98ad62f04e72d8b6a8e03a071e1e389a0bd685616a406316b,OK,
0036,0036_2013-08-08_CadillacWWTP_ToxicsFactSheet.pdf,CadillacWWTP_ToxicsFactSheet.pdf,2013-08-08,Updated WQBEL Toxics Recommendations Fact Sheet,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-7691202997137362379,https://mienviro.michigan.gov/ncore/downloadpdf/-7691202997137362379,155911,3be60aade3cc97cc96fd776c0ac50dda97783f9c6d4854e730af67e41f49a3af,OK,
0037,0037_2013-08-08_General Purpose Memo.pdf,General Purpose Memo.doc,2013-08-08,General Purpose Memo,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-5476792548719461782,https://mienviro.michigan.gov/ncore/downloadpdf/-5476792548719461782,72345,1c00611c5984fbfb5b78f07a7d3ab543ddb9578503ea224b693a9e2c540501e1,OK,
