Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2014-11-26,2014,201411251653.pdf,DEQ Test Data Evaluation,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-832F-E9-D657,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-668421988306006771,https://mienviro.michigan.gov/ncore/downloadpdf/-668421988306006771,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-11-26,2014,201411261120.pdf,Cadillac WWTP Inspection Complete Checklist Inspection ID 56545,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-832F-E9-D657,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-56918685861159494,https://mienviro.michigan.gov/ncore/downloadpdf/-56918685861159494,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-11-26,2014,CBOD5 Results.pdf,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-832F-E9-D657,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),274553011904573053,https://mienviro.michigan.gov/ncore/downloadpdf/274553011904573053,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-11-26,2014,Fecal Coliform Results.pdf,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-832F-E9-D657,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),44608516278427039,https://mienviro.michigan.gov/ncore/downloadpdf/44608516278427039,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-11-26,2014,available cyanide.pdf,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-832F-E9-D657,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-3695442185476720674,https://mienviro.michigan.gov/ncore/downloadpdf/-3695442185476720674,2014 available cyanide record indexed
2015-06-15,2015,IPP Profile.pdf,,Industrial Pretreatment / IPP,Critical,Conversion - Application / Request; Evaluation E-91D5-97-E7D2,Conversion - Application / Request,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),-7233250038345395334,https://mienviro.michigan.gov/ncore/downloadpdf/-7233250038345395334,2015 IPP Profile indexed; separate hard copy not yet recovered
2015-06-15,2015,IU Form 1.pdf,,Industrial Pretreatment / IPP,High,Conversion - Application / Request; Evaluation E-91D5-97-E7D2,Conversion - Application / Request,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),2395269267701377445,https://mienviro.michigan.gov/ncore/downloadpdf/2395269267701377445,2015 IU Form 1 indexed; separate hard copy not yet recovered
2015-06-15,2015,IU Form 2.pdf,,Industrial Pretreatment / IPP,High,Conversion - Application / Request; Evaluation E-91D5-97-E7D2,Conversion - Application / Request,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),2151347118259606317,https://mienviro.michigan.gov/ncore/downloadpdf/2151347118259606317,2015 IU Form 2 indexed; separate hard copy not yet recovered
2015-06-15,2015,Interview Jill Notes.pdf,,Industrial Pretreatment / IPP,High,Conversion - Application / Request; Evaluation E-91D5-97-E7D2,Conversion - Application / Request,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),-3501506775905898877,https://mienviro.michigan.gov/ncore/downloadpdf/-3501506775905898877,2015 Interview Jill Notes indexed; separate hard copy not yet recovered
2015-06-15,2015,Interview Julie Notes.pdf,,Industrial Pretreatment / IPP,High,Conversion - Application / Request; Evaluation E-91D5-97-E7D2,Conversion - Application / Request,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),-2886740339491395619,https://mienviro.michigan.gov/ncore/downloadpdf/-2886740339491395619,2015 Interview Julie Notes indexed; separate hard copy not yet recovered
