Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2018-07-26,2018,Compliance Correspondence_Cadillac WWTP - Updated Narrative and Flow Diagram.msg,-Facility providing disinfection update in narrative description to mention UV,Compliance / Enforcement,High,,NPDES Application Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),7890631484964037993,https://mienviro.michigan.gov/ncore/downloadpdf/7890631484964037993,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-07-31,2018,Application Incomplete Ltr-Compliance_Cadillac WWTP_Final Narrative and Flow Diagram.msg,-Narrative and Flow Diagram updated to include UV,Compliance / Enforcement,High,,NPDES Application Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),8260746469098060718,https://mienviro.michigan.gov/ncore/downloadpdf/8260746469098060718,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-10-01,2018,Additional Email Correspondence_Asset Management Conversation.msg,-Asking about Cadillac Asset Management and updated maps,Permit / Application,Medium,,NPDES Application Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),5826779191242185880,https://mienviro.michigan.gov/ncore/downloadpdf/5826779191242185880,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-10-29,2018,Additional Email Correspondence_Storm Water Coverage.msg,,Permit / Application,Medium,,NPDES Application Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),7290824506602760518,https://mienviro.michigan.gov/ncore/downloadpdf/7290824506602760518,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
